"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","02.01.2020 10:00 - 02.01.2020 10:30 (UTC)","1993","n/e","n/e","10341","3310","0","n/e","n/e","n/e","0","","687","n/e","n/e","6931","122","n/e","562","n/e","5357","6261"
"BZN|GB","02.01.2020 10:30 - 02.01.2020 11:00 (UTC)","2065","n/e","n/e","10393","3279","0","n/e","n/e","n/e","0","","689","n/e","n/e","6933","123","n/e","644","n/e","5392","6359"
"BZN|GB","02.01.2020 11:00 - 02.01.2020 11:30 (UTC)","2256","n/e","n/e","9824","3293","0","n/e","n/e","n/e","183","","631","n/e","n/e","6924","164","n/e","654","n/e","5400","6608"
"BZN|GB","02.01.2020 11:30 - 02.01.2020 12:00 (UTC)","2292","n/e","n/e","9928","3418","0","n/e","n/e","n/e","0","","637","n/e","n/e","6916","125","n/e","620","n/e","5607","6668"
"BZN|GB","02.01.2020 12:00 - 02.01.2020 12:30 (UTC)","2266","n/e","n/e","9917","3414","0","n/e","n/e","n/e","0","","606","n/e","n/e","6914","125","n/e","595","n/e","5684","6771"
"BZN|GB","02.01.2020 12:30 - 02.01.2020 13:00 (UTC)","1990","n/e","n/e","10115","3431","0","n/e","n/e","n/e","0","","617","n/e","n/e","6920","123","n/e","523","n/e","5752","6863"
"BZN|GB","02.01.2020 13:00 - 02.01.2020 13:30 (UTC)","2132","n/e","n/e","10411","3428","0","n/e","n/e","n/e","0","","606","n/e","n/e","6925","123","n/e","442","n/e","5771","6881"
"BZN|GB","02.01.2020 13:30 - 02.01.2020 14:00 (UTC)","2313","n/e","n/e","10003","3419","0","n/e","n/e","n/e","18","","604","n/e","n/e","6931","124","n/e","359","n/e","5795","7106"
"BZN|GB","02.01.2020 14:00 - 02.01.2020 14:30 (UTC)","2299","n/e","n/e","9771","3424","0","n/e","n/e","n/e","131","","611","n/e","n/e","6929","127","n/e","236","n/e","5806","7077"
"BZN|GB","02.01.2020 14:30 - 02.01.2020 15:00 (UTC)","2293","n/e","n/e","9967","3416","0","n/e","n/e","n/e","0","","598","n/e","n/e","6925","127","n/e","140","n/e","5898","7117"
"BZN|GB","02.01.2020 15:00 - 02.01.2020 15:30 (UTC)","2296","n/e","n/e","10698","3365","0","n/e","n/e","n/e","59","","631","n/e","n/e","6925","126","n/e","59","n/e","5843","6998"
"BZN|GB","02.01.2020 15:30 - 02.01.2020 16:00 (UTC)","2298","n/e","n/e","10814","3359","0","n/e","n/e","n/e","172","","623","n/e","n/e","6929","125","n/e","12","n/e","5894","6964"
"BZN|GB","02.01.2020 16:00 - 02.01.2020 16:30 (UTC)","2301","n/e","n/e","10059","3331","0","n/e","n/e","n/e","283","","648","n/e","n/e","6931","175","n/e","1","n/e","6011","6901"
"BZN|GB","02.01.2020 16:30 - 02.01.2020 17:00 (UTC)","2311","n/e","n/e","10670","3201","0","n/e","n/e","n/e","267","","685","n/e","n/e","6927","140","n/e","0","n/e","5993","6992"
"BZN|GB","02.01.2020 17:00 - 02.01.2020 17:30 (UTC)","2338","n/e","n/e","10029","3323","0","n/e","n/e","n/e","729","","796","n/e","n/e","6928","182","n/e","0","n/e","5944","6962"
"BZN|GB","02.01.2020 17:30 - 02.01.2020 18:00 (UTC)","2339","n/e","n/e","9899","3164","0","n/e","n/e","n/e","1034","","847","n/e","n/e","6932","184","n/e","1","n/e","5981","7201"
"BZN|GB","02.01.2020 18:00 - 02.01.2020 18:30 (UTC)","2342","n/e","n/e","10486","2744","0","n/e","n/e","n/e","1027","","818","n/e","n/e","6934","179","n/e","0","n/e","5959","7397"
"BZN|GB","02.01.2020 18:30 - 02.01.2020 19:00 (UTC)","2338","n/e","n/e","10023","2924","0","n/e","n/e","n/e","639","","616","n/e","n/e","6928","180","n/e","1","n/e","189","2667"
"BZN|GB","02.01.2020 19:00 - 02.01.2020 19:30 (UTC)","2336","n/e","n/e","9236","2484","0","n/e","n/e","n/e","475","","587","n/e","n/e","6925","165","n/e","0","n/e","5976","7480"
"BZN|GB","02.01.2020 19:30 - 02.01.2020 20:00 (UTC)","2334","n/e","n/e","8444","2453","0","n/e","n/e","n/e","15","","588","n/e","n/e","6931","134","n/e","0","n/e","5947","7303"
"BZN|GB","02.01.2020 20:00 - 02.01.2020 20:30 (UTC)","2337","n/e","n/e","7884","1900","0","n/e","n/e","n/e","0","","549","n/e","n/e","6926","127","n/e","0","n/e","5940","7255"
"BZN|GB","02.01.2020 20:30 - 02.01.2020 21:00 (UTC)","2316","n/e","n/e","6793","1325","0","n/e","n/e","n/e","0","","522","n/e","n/e","6929","127","n/e","0","n/e","5886","7219"
"BZN|GB","02.01.2020 21:00 - 02.01.2020 21:30 (UTC)","2055","n/e","n/e","6613","1246","0","n/e","n/e","n/e","0","","479","n/e","n/e","6922","126","n/e","0","n/e","5864","7059"
"BZN|GB","02.01.2020 21:30 - 02.01.2020 22:00 (UTC)","2060","n/e","n/e","5435","1249","0","n/e","n/e","n/e","0","","474","n/e","n/e","6928","127","n/e","0","n/e","5945","6667"
"BZN|GB","02.01.2020 22:00 - 02.01.2020 22:30 (UTC)","1949","n/e","n/e","5258","1227","0","n/e","n/e","n/e","0","","490","n/e","n/e","6933","126","n/e","0","n/e","6039","6247"
"BZN|GB","02.01.2020 22:30 - 02.01.2020 23:00 (UTC)","2016","n/e","n/e","5176","717","0","n/e","n/e","n/e","0","","502","n/e","n/e","6930","126","n/e","0","n/e","6005","6026"
"BZN|GB","02.01.2020 23:00 - 02.01.2020 23:30 (UTC)","1484","n/e","n/e","4525","719","0","n/e","n/e","n/e","171","","516","n/e","n/e","6929","138","n/e","0","n/e","6016","5530"
"BZN|GB","02.01.2020 23:30 - 03.01.2020 00:00 (UTC)","1464","n/e","n/e","3468","722","0","n/e","n/e","n/e","0","","509","n/e","n/e","6950","128","n/e","0","n/e","5955","5601"
"BZN|GB","03.01.2020 00:00 - 03.01.2020 00:30 (UTC)","1193","n/e","n/e","3656","719","0","n/e","n/e","n/e","0","","508","n/e","n/e","6939","129","n/e","0","n/e","5932","5255"
"BZN|GB","03.01.2020 00:30 - 03.01.2020 01:00 (UTC)","1460","n/e","n/e","3741","720","0","n/e","n/e","n/e","0","","493","n/e","n/e","6938","133","n/e","0","n/e","6056","5216"
"BZN|GB","03.01.2020 01:00 - 03.01.2020 01:30 (UTC)","1683","n/e","n/e","4035","715","0","n/e","n/e","n/e","0","","484","n/e","n/e","6928","125","n/e","0","n/e","5811","5233"
"BZN|GB","03.01.2020 01:30 - 03.01.2020 02:00 (UTC)","1700","n/e","n/e","3724","723","0","n/e","n/e","n/e","0","","476","n/e","n/e","6932","126","n/e","0","n/e","5791","5446"
"BZN|GB","03.01.2020 02:00 - 03.01.2020 02:30 (UTC)","1611","n/e","n/e","3524","719","0","n/e","n/e","n/e","0","","475","n/e","n/e","6929","124","n/e","0","n/e","176","1900"
"BZN|GB","03.01.2020 02:30 - 03.01.2020 03:00 (UTC)","1607","n/e","n/e","3657","724","0","n/e","n/e","n/e","0","","477","n/e","n/e","6923","123","n/e","0","n/e","174","1922"
"BZN|GB","03.01.2020 03:00 - 03.01.2020 03:30 (UTC)","1403","n/e","n/e","3302","723","0","n/e","n/e","n/e","0","","475","n/e","n/e","6927","123","n/e","0","n/e","5669","4691"
"BZN|GB","03.01.2020 03:30 - 03.01.2020 04:00 (UTC)","1199","n/e","n/e","3328","723","0","n/e","n/e","n/e","0","","469","n/e","n/e","6923","123","n/e","0","n/e","5568","4577"
"BZN|GB","03.01.2020 04:00 - 03.01.2020 04:30 (UTC)","1200","n/e","n/e","3570","721","0","n/e","n/e","n/e","0","","437","n/e","n/e","6923","128","n/e","0","n/e","5396","4393"
"BZN|GB","03.01.2020 04:30 - 03.01.2020 05:00 (UTC)","1399","n/e","n/e","3494","720","0","n/e","n/e","n/e","0","","465","n/e","n/e","6937","122","n/e","0","n/e","5453","4473"
"BZN|GB","03.01.2020 05:00 - 03.01.2020 05:30 (UTC)","1370","n/e","n/e","3812","730","0","n/e","n/e","n/e","0","","475","n/e","n/e","6912","129","n/e","0","n/e","4938","4523"
"BZN|GB","03.01.2020 05:30 - 03.01.2020 06:00 (UTC)","1721","n/e","n/e","3852","811","0","n/e","n/e","n/e","0","","469","n/e","n/e","6934","122","n/e","0","n/e","4813","4482"
"BZN|GB","03.01.2020 06:00 - 03.01.2020 06:30 (UTC)","1660","n/e","n/e","3969","1094","0","n/e","n/e","n/e","0","","470","n/e","n/e","6927","123","n/e","0","n/e","4496","4699"
"BZN|GB","03.01.2020 06:30 - 03.01.2020 07:00 (UTC)","2003","n/e","n/e","4230","1672","0","n/e","n/e","n/e","0","","515","n/e","n/e","6937","121","n/e","0","n/e","4919","4791"
